FOLIO;CURP;NOMBRE COMPLETO;CARRERA ASIGNADA;PLANTEL
216379434;TDFT677210HASUXI4Z;JUAN ALEJANDRO YAM PANTI;TÉC. EN ENFERMERÍA;PUERTO MORELOS
212482164;WJNM294241MNLSMTWV;EMANUEL FELIPE NIC ALMEIDA;TÉC. EN ELECTRICIDAD;OTHÓN P. BLANCO
216306819;MOMW415824HPLHWFKQ;EMANUEL ANGEL AKE PEREZ;TÉC. EN INFORMÁTICA;COZUMEL
210716453;CGEY314517MCSVDXE8;ELENA ISABEL NIC PANTI;TÉC. EN TURISMO;BACALAR
210329724;YYKC836633HQTKGV7S;MIGUEL PAOLA PEREZ CERVERA;TÉC. EN ENFERMERÍA;SOLIDARIDAD
210638125;XYUA534661HTLEOPQR;BRIANA ANGEL NIC ALMEIDA;TÉC. EN ENFERMERÍA;TULUM
213782044;LIHB678877MGRMHVIF;MARIA ISABEL PANTI YAM;TÉC. EN INFORMÁTICA;LÁZARO CÁRDENAS
214006795;BOBA897608HQTXYR8D;ELENA FELIPE ARRIAGA CERVERA;TÉC. EN ELECTRICIDAD;BACALAR
213942838;ZUAJ430133HSPYPPA9;MIGUEL ANGEL AKE PEREZ;TÉC. EN TURISMO;TULUM
210633019;OZHT569680HCCSDP4L;MARIA SHERLIN ARRIAGA AREVALO;TÉC. EN ENFERMERÍA;TULUM
211326904;TRZT006634MCSSGU5F;CHRISTOPHER PAOLA AREVALO CERVERA;TÉC. EN ENFERMERÍA;BENITO JUÁREZ
210839879;DOXD726018MJCIOL0Q;EMANUEL ANGEL NIC CERVERA;TÉC. EN ENFERMERÍA;ISLA MUJERES
217578804;JOBN310597MVZZYMKY;ROBERTO SHERLIN YAM YAM;TÉC. EN TURISMO;FELIPE CARRILLO PUERTO
216896705;IOIL369168HZSWXICL;ELENA PAOLA ALMEIDA ALMEIDA;TÉC. EN TURISMO;ISLA MUJERES
214390557;VQYD738626MJCSKXND;CHRISTOPHER ANGEL AREVALO AREVALO;TÉC. EN ENFERMERÍA;COZUMEL
211989682;TDOX451363MNLEKLWT;MIGUEL PAOLA ALMEIDA CERVERA;TÉC. EN ENFERMERÍA;SOLIDARIDAD
213117122;ZAWL387516HGTOCKSR;ROBERTO FELIPE ARRIAGA PEREZ;TÉC. EN ENFERMERÍA;TULUM
218481107;MHRK540617HBSIMXRS;JUAN ANGEL ARRIAGA AKE;TÉC. EN ELECTRICIDAD;LÁZARO CÁRDENAS
210679002;VFFJ242887MGRANOE5;ELENA ISABEL ALMEIDA AREVALO;TÉC. EN ELECTRICIDAD;TULUM
216491440;JDPJ350755HMNJHYUO;ROBERTO ALEJANDRO YAM PEREZ;TÉC. EN ELECTRICIDAD;JOSÉ MARÍA MORELOS
211137286;DTCM430557HSRTQHBB;ELENA ANTONIO ALMEIDA PANTI;TÉC. EN ENFERMERÍA;JOSÉ MARÍA MORELOS
215815619;AFJO924088MBCQQSDP;MIGUEL ISABEL PEREZ CERVERA;TÉC. EN ENFERMERÍA;BENITO JUÁREZ
216213615;OZMR940764HCMWRU27;CHRISTOPHER PAOLA YAM AREVALO;TÉC. EN ELECTRICIDAD;BENITO JUÁREZ
217023391;QFDK440467HCMMSLRS;CHRISTOPHER ISABEL YAM NIC;TÉC. EN ENFERMERÍA;BACALAR
217375946;NESX634332MNTJVDGJ;JUAN FELIPE PEREZ YAM;TÉC. EN TURISMO;BACALAR
212666313;FZZE640926MHGWZCZ8;MIGUEL ANGEL YAM ALMEIDA;TÉC. EN INFORMÁTICA;BACALAR
212158075;DCON636380MDGWTGBI;EMANUEL FELIPE ALMEIDA AREVALO;TÉC. EN TURISMO;BENITO JUÁREZ
216084634;JWOH652733HOCMLVKT;ELENA ANTONIO AKE PANTI;TÉC. EN ELECTRICIDAD;BACALAR
218961864;XONU777727HSLHVICZ;ELENA ANTONIO PEREZ YAM;TÉC. EN ELECTRICIDAD;ISLA MUJERES
218878197;VAAO947603HZSXTL2C;ROBERTO ISABEL AKE CERVERA;TÉC. EN ELECTRICIDAD;SOLIDARIDAD
210093356;YJQI158623MCCXXM9J;EMANUEL ANGEL ALMEIDA CERVERA;TÉC. EN ENFERMERÍA;COZUMEL
